bps_kode_provinsi;bps_nama_provinsi;tahun;triwulan;kode_lapangan_usaha;lapangan_usaha;pdrb;satuan
11;Aceh;2018;;R. S. T. U;Jasa Lainnya;2165.02;Miliar Rupiah
11;Aceh;2019;;A;Pertanian. Kehutanan. dan Perikanan;48438.86;Miliar Rupiah
11;Aceh;2019;;B;Pertambangan dan Penggalian;7900.31;Miliar Rupiah
11;Aceh;2019;;C;Industri Pengolahan;7777.00;Miliar Rupiah
11;Aceh;2019;;D;Pengadaan Listrik dan Gas;225.88;Miliar Rupiah
11;Aceh;2019;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";84.24;Miliar Rupiah
11;Aceh;2019;;F;Konstruksi;15789.99;Miliar Rupiah
11;Aceh;2019;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";25468.96;Miliar Rupiah
11;Aceh;2019;;H;Transportasi dan Pergudangan;10589.86;Miliar Rupiah
11;Aceh;2019;;I;Penyediaan Akomodasi dan Makan Minum;2775.75;Miliar Rupiah
11;Aceh;2019;;J;Informasi dan Komunikasi;4671.64;Miliar Rupiah
11;Aceh;2019;;K;Jasa Keuangan dan Asuransi;3506.34;Miliar Rupiah
11;Aceh;2019;;L;Real Estat;7159.28;Miliar Rupiah
11;Aceh;2019;;M. N;Jasa Perusahaan;1065.14;Miliar Rupiah
11;Aceh;2019;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;16831.19;Miliar Rupiah
11;Aceh;2019;;P;Jasa Pendidikan;4899.92;Miliar Rupiah
11;Aceh;2019;;Q;Jasa Kesehatan dan Kegiatan Sosial;4618.44;Miliar Rupiah
11;Aceh;2019;;R. S. T. U;Jasa Lainnya;2360.19;Miliar Rupiah
11;Aceh;2020;;A;Pertanian. Kehutanan. dan Perikanan;51547.88;Miliar Rupiah
11;Aceh;2020;;B;Pertambangan dan Penggalian;7410.19;Miliar Rupiah
11;Aceh;2020;;C;Industri Pengolahan;7592.98;Miliar Rupiah
11;Aceh;2020;;D;Pengadaan Listrik dan Gas;227.46;Miliar Rupiah
11;Aceh;2020;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";82.25;Miliar Rupiah
11;Aceh;2020;;F;Konstruksi;17757.38;Miliar Rupiah
11;Aceh;2020;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";24603.42;Miliar Rupiah
11;Aceh;2020;;H;Transportasi dan Pergudangan;7648.94;Miliar Rupiah
11;Aceh;2020;;I;Penyediaan Akomodasi dan Makan Minum;2646.62;Miliar Rupiah
11;Aceh;2020;;J;Informasi dan Komunikasi;5189.85;Miliar Rupiah
11;Aceh;2020;;K;Jasa Keuangan dan Asuransi;3510.64;Miliar Rupiah
11;Aceh;2020;;L;Real Estat;7165.32;Miliar Rupiah
11;Aceh;2020;;M. N;Jasa Perusahaan;1058.26;Miliar Rupiah
11;Aceh;2020;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;17076.15;Miliar Rupiah
11;Aceh;2020;;P;Jasa Pendidikan;5244.24;Miliar Rupiah
11;Aceh;2020;;Q;Jasa Kesehatan dan Kegiatan Sosial;5136.31;Miliar Rupiah
11;Aceh;2020;;R. S. T. U;Jasa Lainnya;2474.46;Miliar Rupiah
11;Aceh;2021;;A;Pertanian. Kehutanan. dan Perikanan;55611.32;Miliar Rupiah
11;Aceh;2021;;B;Pertambangan dan Penggalian;12305.34;Miliar Rupiah
11;Aceh;2021;;C;Industri Pengolahan;9314.18;Miliar Rupiah
11;Aceh;2021;;D;Pengadaan Listrik dan Gas;227.79;Miliar Rupiah
11;Aceh;2021;;E;"Pengadaan Air; Pengelolaan Sampah. Limbah. dan Daur Ulang";85.39;Miliar Rupiah
11;Aceh;2021;;F;Konstruksi;18307.60;Miliar Rupiah
11;Aceh;2021;;G;"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";26460.61;Miliar Rupiah
11;Aceh;2021;;H;Transportasi dan Pergudangan;9489.89;Miliar Rupiah
11;Aceh;2021;;I;Penyediaan Akomodasi dan Makan Minum;2529.77;Miliar Rupiah
11;Aceh;2021;;J;Informasi dan Komunikasi;5566.52;Miliar Rupiah
11;Aceh;2021;;K;Jasa Keuangan dan Asuransi;3527.52;Miliar Rupiah
11;Aceh;2021;;L;Real Estat;7525.77;Miliar Rupiah
11;Aceh;2021;;M. N;Jasa Perusahaan;1099.77;Miliar Rupiah
11;Aceh;2021;;O;Administrasi Pemerintahan. Pertahanan. dan Jaminan Sosial Wajib;19049.09;Miliar Rupiah
11;Aceh;2021;;P;Jasa Pendidikan;5507.88;Miliar Rupiah
11;Aceh;2021;;Q;Jasa Kesehatan dan Kegiatan Sosial;5795.76;Miliar Rupiah
11;Aceh;2021;;R. S. T. U;Jasa Lainnya;2574.55;Miliar Rupiah
