bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;nilai;satuan
11;Aceh;1115;Kabupaten Nagan Raya;2014;35.82;Juta Rupiah
11;Aceh;1116;Kabupaten Aceh Jaya;2014;21.35;Juta Rupiah
11;Aceh;1117;Kabupaten Bener Meriah;2014;24.72;Juta Rupiah
11;Aceh;1118;Kabupaten Pidie Jaya;2014;16.41;Juta Rupiah
11;Aceh;1171;Kota Banda Aceh;2014;54.11;Juta Rupiah
11;Aceh;1172;Kota Sabang;2014;30.29;Juta Rupiah
11;Aceh;1173;Kota Langsa;2014;21.88;Juta Rupiah
11;Aceh;1174;Kota Lhokseumawe;2014;49.72;Juta Rupiah
11;Aceh;1175;Kota Subulussalam;2014;16.29;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2015;18.4;Juta Rupiah
11;Aceh;1102;Kabupaten Aceh Singkil;2015;15.86;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2015;18.8;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2015;17.83;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2015;20.34;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2015;29.96;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2015;30.08;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2015;26.31;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2015;18.77;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2015;23.13;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2015;27.98;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2015;21.1;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2015;23.62;Juta Rupiah
11;Aceh;1114;Kabupaten Aceh Tamiang;2015;20.71;Juta Rupiah
11;Aceh;1115;Kabupaten Nagan Raya;2015;37.24;Juta Rupiah
11;Aceh;1116;Kabupaten Aceh Jaya;2015;22.93;Juta Rupiah
11;Aceh;1117;Kabupaten Bener Meriah;2015;25.95;Juta Rupiah
11;Aceh;1118;Kabupaten Pidie Jaya;2015;17.47;Juta Rupiah
11;Aceh;1171;Kota Banda Aceh;2015;57.91;Juta Rupiah
11;Aceh;1172;Kota Sabang;2015;32.22;Juta Rupiah
11;Aceh;1173;Kota Langsa;2015;23.36;Juta Rupiah
11;Aceh;1174;Kota Lhokseumawe;2015;39.89;Juta Rupiah
11;Aceh;1175;Kota Subulussalam;2015;17.22;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2016;19.63;Juta Rupiah
11;Aceh;1102;Kabupaten Aceh Singkil;2016;16.97;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2016;19.92;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2016;18.99;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2016;20.69;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2016;31.47;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2016;31.25;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2016;27.36;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2016;19.93;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2016;24.18;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2016;28.13;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2016;22.15;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2016;24.96;Juta Rupiah
11;Aceh;1114;Kabupaten Aceh Tamiang;2016;21.43;Juta Rupiah
11;Aceh;1115;Kabupaten Nagan Raya;2016;38.93;Juta Rupiah
11;Aceh;1116;Kabupaten Aceh Jaya;2016;24.15;Juta Rupiah
11;Aceh;1117;Kabupaten Bener Meriah;2016;27.18;Juta Rupiah
11;Aceh;1118;Kabupaten Pidie Jaya;2016;18.29;Juta Rupiah
11;Aceh;1171;Kota Banda Aceh;2016;61.99;Juta Rupiah
11;Aceh;1172;Kota Sabang;2016;34.45;Juta Rupiah
11;Aceh;1173;Kota Langsa;2016;24.98;Juta Rupiah
11;Aceh;1174;Kota Lhokseumawe;2016;39.6;Juta Rupiah
11;Aceh;1175;Kota Subulussalam;2016;18.17;Juta Rupiah
11;Aceh;1101;Kabupaten Simeulue;2017;20.76;Juta Rupiah
11;Aceh;1102;Kabupaten Aceh Singkil;2017;17.8;Juta Rupiah
11;Aceh;1103;Kabupaten Aceh Selatan;2017;20.94;Juta Rupiah
11;Aceh;1104;Kabupaten Aceh Tenggara;2017;20.36;Juta Rupiah
11;Aceh;1105;Kabupaten Aceh Timur;2017;21.7;Juta Rupiah
11;Aceh;1106;Kabupaten Aceh Tengah;2017;32.91;Juta Rupiah
11;Aceh;1107;Kabupaten Aceh Barat;2017;34.44;Juta Rupiah
11;Aceh;1108;Kabupaten Aceh Besar;2017;28.45;Juta Rupiah
11;Aceh;1109;Kabupaten Pidie;2017;21.24;Juta Rupiah
11;Aceh;1110;Kabupaten Bireuen;2017;25.18;Juta Rupiah
11;Aceh;1111;Kabupaten Aceh Utara;2017;29.05;Juta Rupiah
11;Aceh;1112;Kabupaten Aceh Barat Daya;2017;23.29;Juta Rupiah
11;Aceh;1113;Kabupaten Gayo Lues;2017;26.65;Juta Rupiah
11;Aceh;1114;Kabupaten Aceh Tamiang;2017;22.71;Juta Rupiah
11;Aceh;1115;Kabupaten Nagan Raya;2017;40.73;Juta Rupiah
